N,Iterative,Dynamic Programming,Recursive
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000001
12,0.000000,0.000000,0.000001
13,0.000000,0.000000,0.000001
14,0.000000,0.000000,0.000002
15,0.000000,0.000000,0.000003
16,0.000000,0.000000,0.000005
17,0.000000,0.000000,0.000008
18,0.000000,0.000000,0.000013
19,0.000000,0.000000,0.000020
20,0.000000,0.000000,0.000033
21,0.000000,0.000000,0.000053
22,0.000000,0.000000,0.000086
23,0.000000,0.000000,0.000137
24,0.000000,0.000000,0.000226
25,0.000000,0.000000,0.000364
26,0.000000,0.000000,0.000586
27,0.000000,0.000000,0.001008
28,0.000000,0.000000,0.001585
29,0.000000,0.000000,0.002604
30,0.000000,0.000000,0.004098
31,0.000000,0.000000,0.006605
32,0.000000,0.000000,0.010762
33,0.000000,0.000000,0.017534
34,0.000000,0.000000,0.028031
35,0.000000,0.000000,0.045636
36,0.000000,0.000001,0.073783
37,0.000000,0.000000,0.118669
38,0.000000,0.000000,0.191392
39,0.000000,0.000001,0.310202
40,0.000000,0.000000,0.506481
