N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000005,0.000000
2,0.000001,0.000004,0.000000
3,0.000001,0.000004,0.000001
4,0.000001,0.000004,0.000001
5,0.000001,0.000007,0.000001
6,0.000001,0.000007,0.000002
7,0.000001,0.000007,0.000003
8,0.000001,0.000033,0.000007
9,0.000001,0.000025,0.000007
10,0.000001,0.000036,0.000010
11,0.000001,0.000026,0.000016
12,0.000001,0.000038,0.000025
13,0.000001,0.000036,0.000040
14,0.000001,0.000008,0.000068
15,0.000001,0.000009,0.000106
16,0.000002,0.000009,0.000169
17,0.000002,0.000008,0.000290
18,0.000002,0.000009,0.000455
19,0.000002,0.000009,0.000759
20,0.000002,0.000009,0.001163
21,0.000002,0.000026,0.001819
22,0.000004,0.000029,0.003090
23,0.000002,0.000010,0.005227
24,0.000002,0.000053,0.008228
25,0.000002,0.000059,0.014238
26,0.000002,0.000012,0.022927
27,0.000002,0.000013,0.035099
28,0.000002,0.000014,0.056897
29,0.000002,0.000012,0.095327
30,0.000002,0.000014,0.201889
31,0.000002,0.000014,0.246900
32,0.000002,0.000014,0.405327
33,0.000002,0.000013,0.625552
34,0.000002,0.000018,1.011663
35,0.000002,0.000015,1.746470
36,0.000002,0.000015,2.687614
37,0.000002,0.000016,4.282960
38,0.000002,0.000019,6.937526
39,0.000002,0.000018,11.893072
40,0.000002,0.000020,18.169419
